,Movie,Score,Year,Director,Cast,Link
0,Cadena perpetua,9.2,1994,Frank Darabont,"Tim Robbins, Morgan Freeman",https://imbd.com/title/tt0111161/
1,El padrino,9.2,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino",https://imbd.com/title/tt0068646/
2,El caballero oscuro,9.0,2008,Christopher Nolan,"Christian Bale, Heath Ledger",https://imbd.com/title/tt0468569/
3,El padrino: Parte II,9.0,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro",https://imbd.com/title/tt0071562/
4,12 hombres sin piedad,8.9,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",https://imbd.com/title/tt0050083/
5,La lista de Schindler,8.9,1993,Steven Spielberg,"Liam Neeson, Ralph Fiennes",https://imbd.com/title/tt0108052/
6,El señor de los anillos: El retorno del rey,8.9,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen",https://imbd.com/title/tt0167260/
7,Pulp Fiction,8.9,1994,Quentin Tarantino,"John Travolta, Uma Thurman",https://imbd.com/title/tt0110912/
8,El señor de los anillos: La comunidad del anillo,8.8,2001,Peter Jackson,"Elijah Wood, Ian McKellen",https://imbd.com/title/tt0120737/
9,"El bueno, el feo y el malo",8.8,1966,Sergio Leone,"Clint Eastwood, Eli Wallach",https://imbd.com/title/tt0060196/
10,Forrest Gump,8.8,1994,Robert Zemeckis,"Tom Hanks, Robin Wright",https://imbd.com/title/tt0109830/
11,El club de la lucha,8.7,1999,David Fincher,"Brad Pitt, Edward Norton",https://imbd.com/title/tt0137523/
12,Origen,8.7,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",https://imbd.com/title/tt1375666/
13,El señor de los anillos: Las dos torres,8.7,2002,Peter Jackson,"Elijah Wood, Ian McKellen",https://imbd.com/title/tt0167261/
14,El Imperio contraataca,8.7,1980,Irvin Kershner,"Mark Hamill, Harrison Ford",https://imbd.com/title/tt0080684/
15,Matrix,8.7,1999,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",https://imbd.com/title/tt0133093/
16,Uno de los nuestros,8.7,1990,Martin Scorsese,"Robert De Niro, Ray Liotta",https://imbd.com/title/tt0099685/
17,Alguien voló sobre el nido del cuco,8.6,1975,Milos Forman,"Jack Nicholson, Louise Fletcher",https://imbd.com/title/tt0073486/
18,Seven,8.6,1995,David Fincher,"Morgan Freeman, Brad Pitt",https://imbd.com/title/tt0114369/
19,Los siete samuráis,8.6,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",https://imbd.com/title/tt0047478/
20,¡Qué bello es vivir!,8.6,1946,Frank Capra,"James Stewart, Donna Reed",https://imbd.com/title/tt0038650/
21,El silencio de los corderos,8.6,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins",https://imbd.com/title/tt0102926/
22,Ciudad de Dios,8.6,2002,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",https://imbd.com/title/tt0317248/
23,Salvar al soldado Ryan,8.6,1998,Steven Spielberg,"Tom Hanks, Matt Damon",https://imbd.com/title/tt0120815/
24,La vida es bella,8.6,1997,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",https://imbd.com/title/tt0118799/
25,La milla verde,8.6,1999,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",https://imbd.com/title/tt0120689/
